episode,epsilon,total_reward,avg_queue,avg_wait_s,avg_travel_s,throughput,switches,td_loss,q_table_states,avg_delay_s
0,1.0,-1131.2230769230769,4.295,8.863557858376511,76.12262521588947,541,134,28.025702574133,187,8.967184801381693
1,0.9945,-985.8153846153846,3.89,8.234458259325045,73.43339253996447,527,133,18.813311061241794,306,8.317939609236234
2,0.989,-1076.5,4.2058333333333335,8.75609756097561,75.05749128919861,545,132,24.25531289157574,386,8.857142857142858
3,0.9835,-1004.2923076923076,3.8575,8.556797020484172,71.84729981378027,493,131,17.839524593320988,472,8.633147113594042
4,0.9781,-1202.746153846154,4.550833333333333,9.305317324185248,74.57289879931389,546,124,24.598212005928378,551,9.39451114922813
5,0.9726,-1184.6461538461538,4.413333333333333,9.55535390199637,76.88203266787659,523,125,21.76680138053192,599,9.651542649727768
6,0.9673,-906.3692307692309,3.4391666666666665,7.6560747663551405,73.01869158878505,513,129,15.663940869961577,649,7.74392523364486
7,0.9619,-960.1615384615385,3.8241666666666667,7.843103448275862,75.08793103448276,539,135,17.86737415612427,687,7.910344827586207
8,0.9566,-969.7538461538461,3.629166666666667,7.803603603603603,69.7981981981982,517,131,19.797896466075994,720,7.8882882882882885
9,0.9513,-995.323076923077,3.885,8.074912891986063,73.11498257839722,544,135,17.605126691033455,745,8.151567944250871
10,0.946,-872.5999999999999,3.5708333333333333,7.4275741710296685,72.92495636998255,538,139,14.619078556066414,770,7.492146596858639
11,0.9408,-911.4923076923078,3.51,8.0,75.64627151051626,495,134,18.1709744847591,792,8.074569789674952
12,0.9356,-878.923076923077,3.4808333333333334,7.563071297989031,72.11151736745887,511,133,13.623903819940598,817,7.661791590493602
13,0.9304,-893.6846153846154,3.4941666666666666,7.181034482758621,71.81206896551724,555,137,17.1133288380917,849,7.2620689655172415
14,0.9253,-1071.876923076923,4.17,9.323970037453183,76.61048689138576,509,133,21.150394998391047,881,9.416822429906542
15,0.9202,-980.1000000000001,3.825833333333333,8.423290203327172,72.31792975970426,501,133,15.718091825778455,896,8.502772643253234
16,0.9151,-987.723076923077,3.8925,8.115586690017514,74.43082311733801,546,134,18.25464652063379,921,8.20140105078809
17,0.91,-1045.0307692307692,4.06,8.029850746268657,71.60862354892205,559,127,18.398239868095047,942,8.12106135986733
18,0.905,-984.2461538461538,3.8508333333333336,7.973913043478261,72.41043478260869,543,128,17.88853064849572,959,8.081739130434782
19,0.9,-866.353846153846,3.3733333333333335,7.688336520076482,72.20841300191205,490,132,12.993290170943457,973,7.768642447418738
20,0.895,-942.3000000000001,3.6866666666666665,7.9781818181818185,69.60909090909091,513,129,16.72162294907689,994,8.07090909090909
21,0.89,-840.0923076923077,3.4058333333333333,7.161061946902655,74.12212389380531,532,142,14.795457303316855,1008,7.265486725663717
22,0.8851,-1133.3615384615384,4.388333333333334,9.08695652173913,75.70260869565217,532,131,23.578663287653704,1026,9.187826086956521
23,0.8802,-971.4692307692308,3.933333333333333,7.7781456953642385,71.78145695364239,553,133,17.81238083865254,1043,7.867549668874172
24,0.8753,-794.4538461538461,3.1791666666666667,6.950367647058823,71.40257352941177,516,133,11.69262373398542,1054,7.03302752293578
25,0.8705,-1031.746153846154,4.1433333333333335,8.75531914893617,74.44148936170212,528,135,21.544533373950305,1067,8.879432624113475
26,0.8657,-899.476923076923,3.68,7.954627949183303,72.26678765880217,508,139,13.417010071543249,1072,8.052536231884059
27,0.8609,-801.4230769230769,3.1525,6.86080586080586,69.27838827838828,512,136,12.525585541949258,1084,6.956043956043956
28,0.8561,-826.7769230769231,3.3533333333333335,7.2018018018018015,71.06486486486486,521,143,13.006129797342245,1092,7.264864864864865
29,0.8514,-940.4538461538463,3.6933333333333334,7.75,70.6355633802817,533,131,14.758135237035521,1106,7.830985915492958
30,0.8467,-1145.0692307692307,4.430833333333333,9.233856893542757,73.5567190226876,539,130,21.333448043421935,1117,9.357766143106458
31,0.842,-818.2230769230769,3.3125,7.263351749539595,71.41804788213628,518,138,13.728687996063961,1128,7.359116022099448
32,0.8373,-783.5769230769231,3.2058333333333335,6.766371681415929,70.12920353982301,515,141,13.240105908500576,1138,6.854867256637168
33,0.8327,-898.4692307692309,3.505,7.491039426523297,72.24372759856631,510,134,14.264790386813472,1145,7.603942652329749
34,0.8281,-909.676923076923,3.5908333333333333,7.6310160427807485,73.38146167557932,530,130,12.775594528640665,1162,7.746880570409982
35,0.8235,-805.7538461538461,3.3016666666666667,7.2680221811460255,71.40665434380776,504,136,11.111988646348617,1168,7.347504621072089
36,0.819,-838.7384615384615,3.368333333333333,7.2328519855595665,73.78158844765343,517,134,12.490318838238258,1176,7.335740072202166
37,0.8144,-943.7846153846154,3.6966666666666668,7.59552495697074,72.0172117039587,547,131,13.810087052855952,1181,7.678141135972461
38,0.8099,-972.0615384615385,3.9375,8.177700348432056,72.49651567944251,539,135,15.0021811724768,1191,8.277003484320558
39,0.8054,-870.8615384615384,3.4891666666666667,7.80827067669173,73.90037593984962,498,131,14.59085555506459,1202,7.919172932330827
40,0.801,-868.5615384615385,3.308333333333333,6.941901408450704,72.06161971830986,524,131,12.970477882870032,1208,7.033450704225352
41,0.7966,-950.6076923076923,3.77,7.802083333333333,73.72916666666667,539,132,16.67538600438393,1219,7.892361111111111
42,0.7922,-794.2307692307693,3.2933333333333334,6.7066895368782165,69.29331046312178,539,139,12.305263860244768,1226,6.787671232876712
43,0.7878,-861.6153846153846,3.465,7.337477797513322,72.62877442273535,526,137,13.065771890538521,1230,7.445825932504441
44,0.7834,-862.7461538461539,3.4483333333333333,7.250440917107584,71.6931216931217,534,133,13.433340574622205,1235,7.326278659611993
45,0.7791,-830.9230769230769,3.319166666666667,6.625838926174497,69.99161073825503,551,134,12.223098705639798,1242,6.728187919463087
46,0.7748,-803.646153846154,3.2758333333333334,6.934163701067615,69.6459074733096,532,135,11.19162992467185,1246,6.996447602131439
47,0.7705,-789.1615384615385,3.1725,6.998144712430427,72.13729128014842,494,132,10.895899108055144,1257,7.074211502782932
48,0.7662,-813.1846153846153,3.23,6.864527629233511,71.35650623885918,513,137,11.342062915447377,1261,6.959001782531194
49,0.762,-1097.9307692307693,4.195,8.303482587064677,71.66666666666667,562,127,21.477587634962955,1277,8.391376451077944
50,0.7578,-738.7538461538461,3.0108333333333333,6.495479204339964,72.8390596745027,523,140,10.841160037498893,1279,6.573236889692586
51,0.7536,-798.7923076923076,3.1366666666666667,6.346938775510204,68.97619047619048,560,133,12.6250231335485,1288,6.442176870748299
52,0.7494,-714.0615384615385,2.8925,6.605363984674329,69.0919540229885,491,136,10.34384339972115,1296,6.708812260536399
53,0.7453,-786.776923076923,3.2108333333333334,6.874100719424461,72.21043165467626,522,137,12.212431050834542,1303,6.951438848920863
54,0.7411,-749.0923076923077,3.15,6.6436170212765955,71.13475177304964,532,143,10.859426146758556,1304,6.73581560283688
55,0.737,-745.4153846153847,3.025,6.394316163410302,72.41740674955595,533,134,12.323192694115527,1314,6.504440497335701
56,0.733,-1117.246153846154,4.404166666666667,8.7876254180602,73.98160535117057,555,133,25.614024041409596,1326,8.882943143812708
57,0.7289,-614.9153846153846,2.4741666666666666,5.358834244080145,68.57377049180327,516,140,9.398389667822029,1330,5.43351548269581
58,0.7249,-788.1923076923077,3.0708333333333333,6.706959706959707,70.73076923076923,504,132,11.463520190648168,1340,6.789377289377289
59,0.7209,-643.123076923077,2.605,5.814606741573034,68.91011235955057,492,135,9.035681658649315,1347,5.889513108614232
60,0.7169,-728.1538461538462,2.8633333333333333,6.04070796460177,72.14690265486726,529,135,11.057785369056154,1353,6.127433628318584
61,0.7129,-1027.9538461538461,3.8725,8.115992970123022,73.34446397188049,540,132,23.151081782082926,1360,8.21792618629174
62,0.709,-713.0615384615384,2.984166666666667,6.572222222222222,72.23148148148148,503,135,9.860716018406624,1364,6.62962962962963
63,0.705,-735.5846153846154,3.05,6.700554528650647,69.31608133086876,506,138,12.005115195125931,1370,6.77079482439926
64,0.7011,-788.4153846153846,3.2125,6.527303754266212,71.95221843003414,561,134,12.613212103228829,1375,6.65358361774744
65,0.6973,-1023.0230769230768,4.045,8.262435677530018,75.76843910806176,547,133,23.845612323762207,1384,8.34819897084048
66,0.6934,-698.8,2.9691666666666667,5.993197278911564,70.47789115646259,547,142,9.770425509979036,1384,6.062925170068027
67,0.6896,-786.5923076923077,3.118333333333333,6.508771929824562,71.0421052631579,535,134,11.527788170725948,1387,6.591228070175439
68,0.6858,-891.0461538461539,3.2416666666666667,6.896243291592129,70.62969588550983,529,119,13.045776582972113,1395,6.95169946332737
69,0.682,-733.8384615384615,3.046666666666667,6.194871794871795,71.02051282051282,545,140,11.799720792280873,1399,6.285470085470085
70,0.6782,-737.2153846153847,3.0483333333333333,6.3796133567662565,72.14762741652021,535,137,11.12838195503889,1402,6.463971880492092
71,0.6744,-593.9153846153846,2.515,5.2381786339754814,67.29947460595447,537,142,9.84225652766164,1404,5.3204903677758315
72,0.6707,-885.2153846153847,3.4283333333333332,7.569573283858998,72.19294990723562,501,127,13.979933747995194,1409,7.656771799628943
73,0.667,-818.6846153846154,3.276666666666667,6.818181818181818,70.6520979020979,534,140,16.727115325691422,1417,6.9178321678321675
74,0.6633,-667.0307692307692,2.8808333333333334,6.008756567425569,70.46234676007005,537,148,11.074673459413418,1418,6.092819614711034
75,0.6596,-755.0307692307692,3.13,6.661896243291592,72.10196779964222,519,135,10.851108906518414,1420,6.7495527728085865
76,0.656,-863.323076923077,3.5858333333333334,6.951219512195122,72.87967479674796,570,141,16.661945465201388,1424,7.045528455284553
77,0.6524,-670.4076923076923,2.901666666666667,5.832203389830508,71.00677966101695,563,144,11.326729628667437,1431,5.918644067796611
78,0.6487,-770.7923076923076,3.13,6.46875,73.55208333333333,540,138,13.009669983287369,1434,6.555555555555555
79,0.6452,-786.6615384615384,3.299166666666667,6.637901861252115,71.37732656514382,552,138,13.688802746983633,1435,6.716216216216216
80,0.6416,-808.9000000000001,3.22,6.872759856630824,70.70967741935483,522,133,13.916195159050345,1437,6.978494623655914
81,0.638,-871.2692307692308,3.620833333333333,7.014634146341463,71.98536585365854,585,137,15.28620104663763,1443,7.100813008130081
82,0.6345,-744.4615384615385,2.9791666666666665,6.250440917107584,70.31040564373897,536,137,12.66136438131804,1446,6.361552028218695
83,0.631,-749.7615384615385,3.0566666666666666,6.311418685121107,72.50173010380622,536,134,13.367322565992575,1451,6.389273356401384
84,0.6275,-853.8461538461538,3.575833333333333,7.419860627177701,72.04006968641114,540,137,15.708318138024795,1455,7.503484320557491
85,0.624,-711.8384615384616,2.9233333333333333,6.057291666666667,69.72569444444444,531,138,12.46095694743658,1457,6.152777777777778
86,0.6206,-700.2461538461539,2.845,5.801029159519725,67.71012006861064,543,131,10.268756493216458,1461,5.886792452830188
87,0.6171,-675.176923076923,2.819166666666667,5.89103690685413,69.10720562390158,535,139,12.098485187264817,1465,5.968365553602812
88,0.6137,-965.6,3.8633333333333333,7.742857142857143,71.96638655462185,564,138,22.378000564504553,1470,7.832214765100671
89,0.6103,-723.6846153846154,3.0616666666666665,6.347294938917975,71.77661431064573,529,138,10.799933058876826,1476,6.43630017452007
90,0.607,-720.5384615384615,2.8266666666666667,6.4103053435114505,71.19656488549619,481,128,11.226666549917923,1476,6.494274809160306
91,0.6036,-898.1923076923076,3.6358333333333333,7.704626334519573,72.08540925266904,520,134,17.609136254467565,1480,7.816725978647687
92,0.6003,-657.5769230769231,2.7625,6.122905027932961,71.77839851024208,499,138,10.28107716733327,1482,6.189944134078212
93,0.5969,-846.5692307692309,3.4591666666666665,6.899497487437186,71.08877721943048,556,135,16.474800660990745,1486,6.9798994974874375
94,0.5936,-760.8307692307692,3.0391666666666666,6.026622296173045,72.2379367720466,561,135,12.98251981446745,1494,6.118136439267887
95,0.5904,-743.3307692307692,3.0375,6.2979094076655056,71.53135888501743,536,130,12.407492255286177,1499,6.400696864111498
96,0.5871,-723.9692307692308,2.87,6.2623853211009175,69.98715596330275,515,132,11.499274845408765,1506,6.348623853211009
97,0.5838,-631.3230769230769,2.7125,5.979629629629629,72.11481481481482,508,141,11.20168652232072,1509,6.051851851851852
98,0.5806,-591.0230769230769,2.4408333333333334,5.307129798903108,66.9835466179159,503,138,9.801123413114786,1511,5.39853747714808
99,0.5774,-601.5,2.5258333333333334,5.224347826086957,67.76173913043478,535,140,9.842059056472692,1514,5.32695652173913
100,0.5742,-798.6923076923076,3.2933333333333334,6.335483870967742,70.0741935483871,584,139,16.741243256785914,1519,6.446774193548387
101,0.571,-722.4461538461538,2.9483333333333333,6.048359240069084,68.86528497409327,546,135,12.171188664925586,1522,6.139896373056994
102,0.5679,-764.6461538461539,3.0625,6.51520572450805,69.59928443649373,520,130,11.162452507806963,1526,6.602862254025045
103,0.5647,-688.7538461538462,2.9175,6.052173913043478,71.6191304347826,538,141,11.75834826442444,1530,6.133913043478261
104,0.5616,-702.1153846153846,2.9583333333333335,6.049828178694158,70.95876288659794,546,142,12.896269944823981,1533,6.134020618556701
105,0.5585,-655.5307692307692,2.736666666666667,5.657986111111111,69.53298611111111,541,145,12.90936562864684,1535,5.743055555555555
106,0.5554,-686.176923076923,2.8783333333333334,6.065486725663717,70.22477876106194,530,140,11.542489804499258,1538,6.1415929203539825
107,0.5523,-760.2769230769231,3.1508333333333334,6.506944444444445,71.77430555555556,545,135,12.17687808425265,1541,6.602430555555555
108,0.5493,-665.6461538461538,2.8208333333333333,5.950354609929078,72.13652482269504,529,139,11.659525473773543,1546,6.067375886524823
109,0.5462,-778.0769230769231,3.0741666666666667,6.408056042031523,69.69877408056043,540,133,12.159936645816687,1551,6.479859894921191
110,0.5432,-665.3692307692309,2.7608333333333333,5.537037037037037,69.22390572390573,561,139,9.458417421051498,1552,5.610084033613445
111,0.5402,-563.5615384615385,2.4158333333333335,5.197822141560798,71.21052631578948,519,142,8.937219684435577,1553,5.272232304900181
112,0.5372,-698.3923076923077,2.9558333333333335,5.932318104906938,70.0575296108291,557,141,10.685987768313842,1553,6.027072758037225
113,0.5343,-707.9846153846154,2.8966666666666665,6.135472370766489,69.28877005347593,522,133,13.83929695952704,1558,6.212121212121212
114,0.5313,-660.2461538461539,2.8016666666666667,5.708404802744425,69.04802744425386,549,142,11.057623488802344,1563,5.770154373927959
115,0.5284,-657.7076923076922,2.8891666666666667,5.905335628227195,67.9552495697074,548,149,12.082365107741783,1563,5.969018932874355
116,0.5254,-944.123076923077,3.8175,7.930191972076789,76.59336823734729,541,133,22.148282304102356,1566,8.045375218150086
117,0.5225,-749.7384615384615,3.0625,6.48576512455516,69.20818505338079,524,139,12.272485737766482,1567,6.5711743772241995
118,0.5196,-718.8846153846154,2.8625,5.863793103448276,69.55172413793103,542,131,11.13328870580165,1571,5.95
119,0.5168,-668.6615384615385,2.776666666666667,5.7578397212543555,71.07491289198606,543,139,9.80683457520251,1573,5.855400696864112
120,0.5139,-737.1230769230768,2.993333333333333,6.325044404973357,71.13499111900533,535,132,12.370151500658057,1575,6.4191829484902305
121,0.5111,-590.5,2.5575,5.283478260869566,68.72173913043478,545,147,10.563213404864538,1575,5.372173913043478
122,0.5082,-675.2384615384615,2.835,5.891418563922942,70.34500875656742,522,142,12.501319814293712,1578,5.978984238178634
123,0.5054,-755.6076923076923,3.0683333333333334,6.460176991150442,72.41946902654867,528,136,12.586124034070787,1582,6.552212389380531
124,0.5026,-704.8846153846155,2.8608333333333333,5.914930555555555,68.38020833333333,539,131,10.885807178091262,1582,5.994791666666667
125,0.4998,-719.5846153846154,2.776666666666667,6.018214936247723,69.18579234972678,517,134,10.31587884768903,1584,6.092896174863388
126,0.4971,-727.9538461538461,3.089166666666667,6.0694214876033055,69.64462809917356,577,145,15.740181225474176,1585,6.12892561983471
127,0.4943,-663.3076923076924,2.6883333333333335,5.647787610619469,69.57345132743363,529,132,10.837879888145835,1588,5.723893805309735
128,0.4916,-660.0769230769231,2.7291666666666665,5.644097222222222,68.37326388888889,536,136,11.694371040296371,1590,5.737847222222222
129,0.4889,-644.5230769230769,2.7358333333333333,5.334967320261438,71.64869281045752,582,139,10.225276416423775,1592,5.4526143790849675
130,0.4862,-743.3846153846154,3.005,6.431654676258993,69.5431654676259,517,137,13.152112029317463,1596,6.5359712230215825
131,0.4835,-687.5230769230769,2.9966666666666666,6.41546762589928,71.4820143884892,525,140,11.293095088952704,1596,6.512589928057554
132,0.4808,-597.1692307692308,2.5566666666666666,5.529090909090909,70.82181818181819,505,140,9.195896874815736,1596,5.609090909090909
133,0.4781,-741.8384615384615,2.9983333333333335,5.907131011608624,69.18407960199005,561,135,13.416906473030531,1597,6.011608623548922
134,0.4755,-721.9692307692308,2.9858333333333333,5.983136593591905,70.72681281618887,557,138,14.321672556222513,1600,6.072512647554806
135,0.4729,-649.5153846153846,2.6983333333333333,5.798913043478261,71.01086956521739,519,131,11.150859403024414,1605,5.880434782608695
136,0.4703,-664.8076923076923,2.7491666666666665,5.483221476510067,69.2751677852349,557,136,12.507549053938769,1607,5.583892617449664
137,0.4677,-691.1846153846154,2.9475,6.204585537918871,73.25925925925925,530,138,13.906487291441556,1613,6.303350970017637
138,0.4651,-763.5076923076923,3.0941666666666667,6.786372007366483,70.43462246777163,514,132,12.686769515259002,1619,6.861878453038674
139,0.4625,-666.8846153846155,2.6191666666666666,5.710622710622711,70.0915750915751,512,125,10.015625503532956,1625,5.805860805860806
140,0.4599,-515.0000000000001,2.3116666666666665,5.014571948998179,68.71220400728598,514,148,10.1913192258143,1625,5.087431693989071
141,0.4574,-823.1076923076923,3.4208333333333334,6.863865546218487,71.41512605042017,557,135,18.492730091267877,1627,6.961344537815126
142,0.4549,-604.5230769230768,2.5216666666666665,5.333925399644761,66.49911190053285,536,140,9.10869111840055,1631,5.413854351687389
143,0.4523,-562.7461538461539,2.4916666666666667,5.310592459605027,68.3770197486535,521,142,10.289210767860329,1634,5.434470377019749
144,0.4498,-743.4,3.0591666666666666,6.1884550084889645,69.64516129032258,560,136,13.137373614252486,1636,6.266553480475382
145,0.4474,-659.676923076923,2.7075,5.1506410256410255,68.96474358974359,595,137,10.180255274961707,1638,5.25
146,0.4449,-722.0384615384614,2.8366666666666664,6.401515151515151,72.51704545454545,495,129,12.009885482197095,1639,6.4772727272727275
147,0.4424,-671.5692307692308,2.825,5.8365217391304345,69.24869565217391,538,135,12.43722317186217,1641,5.911304347826087
148,0.44,-669.5769230769231,2.6858333333333335,6.041587901701323,70.39886578449905,493,130,11.563115729584732,1643,6.111531190926276
149,0.4375,-553.2769230769231,2.32,5.293666026871401,70.53358925143954,491,135,9.58004442227511,1647,5.385796545105566
150,0.4351,-567.1384615384616,2.4558333333333335,5.037865748709122,72.14629948364887,550,141,9.23445770002748,1650,5.129087779690189
151,0.4327,-656.1923076923077,2.7066666666666666,5.796762589928058,69.58093525179856,507,132,11.50775879222682,1653,5.89748201438849
152,0.4303,-725.9384615384615,2.8658333333333332,5.645695364238411,69.17218543046357,563,130,12.743699501415012,1654,5.745033112582782
153,0.4279,-666.876923076923,2.805833333333333,5.8321678321678325,68.62587412587412,538,136,11.26948280705381,1656,5.9178321678321675
