episode,epsilon,total_reward,avg_queue,avg_wait_s,avg_travel_s,throughput,switches,td_loss,q_table_states,avg_delay_s
0,1.0,-1990.7538461538463,7.650833333333333,10.871733966745843,82.10570071258907,787,134,79.34695922814936,191,11.021377672209026
1,0.9945,-1697.4846153846154,6.684166666666667,9.892193308550185,78.67657992565056,759,133,52.634290381033715,319,10.032218091697645
2,0.989,-2166.3076923076924,8.605833333333333,12.25952380952381,83.0345238095238,778,132,84.02109146978708,399,12.401190476190477
3,0.9835,-1592.7923076923075,6.0841666666666665,8.821601941747574,75.45995145631068,768,131,44.080278153082894,476,8.969660194174757
4,0.9781,-2349.4076923076923,8.996666666666666,12.617819460726846,82.6717467760844,790,126,110.27612558973674,547,12.770222743259085
5,0.9726,-2048.8538461538465,7.735833333333333,11.911196911196912,81.6949806949807,716,126,68.47124131711637,598,12.04118404118404
6,0.9673,-1867.5923076923077,7.115,10.457002457002456,80.18673218673219,769,129,56.35353251411139,644,10.598280098280098
7,0.9619,-1931.715384615385,7.645,10.72887323943662,81.30046948356808,791,135,73.2698848494055,678,10.862676056338028
8,0.9566,-2217.9307692307693,8.428333333333333,12.165259348612787,80.0735826296743,759,132,85.52943263245668,727,12.302774427020507
9,0.9513,-1496.6,6.109166666666667,8.47906976744186,76.2406976744186,808,140,40.33236781381008,761,8.603488372093024
10,0.946,-1728.076923076923,6.6883333333333335,9.253472222222221,77.40277777777777,810,136,54.55939314842704,795,9.410404624277456
11,0.9408,-1818.8153846153846,7.305,11.070975918884663,81.99493029150824,739,134,60.069003029825815,821,11.191381495564006
12,0.9356,-1602.946153846154,6.445,9.180190930787589,77.31742243436754,771,135,43.333416145369746,844,9.306317044100119
13,0.9304,-2180.6692307692306,8.714166666666667,12.153846153846153,81.81934731934732,815,138,93.09039678889822,869,12.297202797202797
14,0.9253,-1668.123076923077,6.428333333333334,9.424539877300614,77.91779141104294,765,130,38.899791937239726,891,9.565644171779141
15,0.9202,-2230.507692307692,8.9225,12.549411764705882,82.56705882352941,780,136,74.76612564577692,907,12.679200940070505
16,0.9151,-1713.8846153846152,6.591666666666667,9.073732718894009,77.35599078341014,821,132,46.37665228791746,940,9.2073732718894
17,0.91,-1944.253846153846,7.665,10.596531791907514,76.94335260115606,792,126,56.048661864156344,967,10.71907514450867
18,0.905,-1644.4692307692308,6.418333333333333,9.107015457788346,76.64447086801427,792,132,43.49819615031441,988,9.243757431629014
19,0.9,-1816.7846153846153,7.144166666666667,10.582403965303593,79.75340768277572,756,133,53.1021100125834,1005,10.736059479553903
20,0.895,-1694.0769230769229,6.4775,9.242822966507177,76.04904306220095,758,129,47.6324504440146,1022,9.386363636363637
21,0.89,-1370.9692307692308,5.788333333333333,8.626716604244693,79.16354556803995,740,139,34.54339508591206,1041,8.786516853932584
22,0.8851,-1979.330769230769,7.780833333333334,11.133971291866029,80.11244019138756,770,133,64.044405469273,1058,11.270334928229666
23,0.8802,-1556.1076923076923,6.4725,8.812072892938497,77.23804100227791,821,140,42.0748313937034,1065,8.956719817767654
24,0.8753,-1410.5153846153846,5.505,8.161490683229813,75.74658385093167,744,128,33.15963223806634,1082,8.284119106699752
25,0.8705,-1541.7153846153847,6.139166666666667,8.895631067961165,76.87864077669903,757,133,40.45347442128174,1101,9.04247572815534
26,0.8657,-1643.176923076923,6.555,9.322619047619048,77.16547619047618,769,140,49.036019926147446,1113,9.467857142857143
27,0.8609,-1534.9692307692308,6.145,9.007352941176471,76.11642156862744,762,137,41.09926817427002,1131,9.14093137254902
28,0.8561,-1253.7923076923078,5.113333333333333,7.462102689486553,74.84229828850856,772,141,34.484329567507764,1144,7.601466992665037
29,0.8514,-1581.4846153846154,5.951666666666667,8.577804583835947,76.57056694813028,776,126,38.388430295978985,1159,8.721351025331725
30,0.8467,-1649.8076923076924,6.366666666666666,9.053571428571429,75.36666666666666,786,124,39.4901620496044,1182,9.225
