episode,epsilon,total_reward,avg_queue,avg_wait_s,avg_travel_s,throughput,switches,td_loss,q_table_states,avg_delay_s
0,1.0,-2301.3846153846152,26.688333333333333,86.17250673854447,141.01078167115904,311,85,nan,,101.39787798408489
1,0.9945,-2018.8153846153846,21.983333333333334,74.78693181818181,127.70738636363636,314,83,nan,,82.99455040871935
2,0.989,-2298.8461538461543,24.276666666666667,76.11780104712042,127.04188481675392,328,82,nan,,79.79800498753117
3,0.9835,-1824.8615384615384,20.561666666666667,77.40880503144655,126.66981132075472,275,84,nan,,78.83180428134557
4,0.9781,-1977.9846153846154,17.569166666666668,56.24064171122995,101.86363636363636,324,84,0.12744918050562246,,56.532085561497325
5,0.9726,-2311.1538461538466,21.99,72.32692307692308,119.9532967032967,328,80,0.11815659966950591,,73.53571428571429
6,0.9673,-1932.1692307692308,20.3475,72.94610778443113,121.77245508982035,301,82,0.08162367098195686,,74.85928143712574
7,0.9619,-2070.923076923077,22.3075,74.6340782122905,126.70949720670392,309,82,0.032522960927697166,,82.23184357541899
8,0.9566,-2946.6307692307687,31.179166666666667,97.0051948051948,151.96363636363637,327,81,0.010252896732336609,,112.07012987012988
9,0.9513,-2808.107692307693,30.019166666666667,98.78846153846153,153.5989010989011,317,79,0.015418047262377109,,105.06084656084656
10,0.946,-2510.476923076923,22.93,72.62962962962963,124.26719576719577,340,77,0.006130871811469377,,77.03439153439153
11,0.9408,-2147.4615384615386,23.866666666666667,82.35446685878962,127.86167146974063,280,82,0.012689381336026524,,88.34550561797752
12,0.9356,-1956.7846153846153,17.145,58.427350427350426,105.3931623931624,313,80,0.007987710721269223,,58.98011363636363
13,0.9304,-2017.7692307692305,20.083333333333332,66.6038781163435,114.9612188365651,311,83,0.007444878118003761,,67.87704918032787
14,0.9253,-1896.6000000000001,17.66583333333333,58.89693593314763,106.31197771587743,322,82,0.014982726743349559,,59.22222222222222
15,0.9202,-2340.476923076924,24.063333333333333,80.29247910863509,130.0306406685237,313,79,0.010722472046844622,,86.86141304347827
16,0.9151,-2125.015384615385,22.108333333333334,73.11602209944752,121.55524861878453,318,82,0.016798048341399988,,75.70165745856353
17,0.91,-2518.0615384615385,27.585,86.0546875,140.59375,318,83,0.01494991779619499,,96.91927083333333
18,0.905,-2498.630769230769,24.4375,77.21108179419525,129.6121372031662,333,80,0.017182255738707446,,79.7335092348285
19,0.9,-2334.184615384615,21.548333333333332,71.46814404432133,118.6842105263158,328,81,0.018937838883765847,,71.7590027700831
20,0.895,-1779.4923076923078,17.5525,66.45886075949367,111.86392405063292,275,80,0.020053235584235964,,68.53703703703704
21,0.89,-2552.6,25.419166666666666,78.84455958549223,132.72279792746113,341,83,0.023195575010792297,,81.1839378238342
22,0.8851,-2001.9846153846152,18.04083333333333,62.190201729106626,105.48414985590779,313,80,0.023021418437838195,,62.15056818181818
23,0.8802,-1943.123076923077,22.83,80.41470588235295,130.88823529411764,290,84,0.026080805366167976,,100.17021276595744
24,0.8753,-2388.030769230769,22.756666666666668,70.98697916666667,123.44270833333333,323,79,0.025950380431904816,,73.01030927835052
25,0.8705,-1693.092307692308,16.78,60.11377245508982,104.64071856287426,285,85,0.029157288499058034,,60.43478260869565
26,0.8657,-2419.4461538461537,23.081666666666667,73.50797872340425,122.85904255319149,332,79,0.02894548272548484,,73.89528795811518
27,0.8609,-2087.876923076923,19.2075,60.801587301587304,106.87566137566138,330,81,0.0290773916920407,,61.801587301587304
28,0.8561,-2239.8923076923074,22.018333333333334,70.70509383378015,121.47184986595174,321,81,0.03254439045093098,,71.90625
29,0.8514,-2461.3230769230768,25.966666666666665,80.78441558441558,133.7896103896104,343,83,0.03184356531420739,,84.42337662337663
