episode,epsilon,total_reward,avg_queue,avg_wait_s,avg_travel_s,throughput,switches,td_loss,q_table_states,avg_delay_s
0,1.0,-10477.292307692309,72.5625,117.1989247311828,221.06048387096774,602,77,nan,,248.3528384279476
1,0.9945,-9180.523076923077,63.35333333333333,90.36104513064133,186.3040380047506,677,77,nan,,204.4602323503128
2,0.989,-9055.830769230766,68.10083333333333,106.94248366013072,201.2640522875817,606,82,nan,,218.1056838365897
3,0.9835,-9252.446153846153,65.01583333333333,109.27972027972028,197.52027972027972,568,77,nan,,201.38967136150234
4,0.9781,-10094.723076923077,64.17833333333333,93.78128797083839,188.93924665856622,660,73,0.09621021756580404,,199.77583187390542
5,0.9726,-9972.63076923077,66.5,103.77142857142857,213.8,613,79,0.1386160521185835,,221.49857819905213
6,0.9673,-9849.861538461537,62.80083333333334,97.24484536082474,199.23324742268042,625,76,0.05638859494052594,,202.3394495412844
7,0.9619,-10156.415384615386,71.00916666666667,116.34468664850137,209.07220708446866,600,74,0.05722351480439996,,226.99346405228758
8,0.9566,-10174.492307692308,70.51083333333334,108.70769230769231,214.17435897435897,625,78,0.0351927720848598,,235.38568935427574
9,0.9513,-10601.738461538464,65.92916666666666,97.13112745098039,202.74264705882354,660,71,0.007176304794156242,,179.35468895078924
10,0.946,-8026.046153846153,45.85166666666667,60.83846153846154,148.82857142857142,780,73,0.01335124227070425,,149.56417112299465
11,0.9408,-9906.90769230769,63.530833333333334,91.50179640718562,195.62874251497007,689,76,0.005927899961831003,,171.95539033457248
12,0.9356,-8720.615384615385,54.6775,75.96073903002309,179.31177829099306,712,79,0.007157051784422897,,166.45656028368793
13,0.9304,-8219.553846153845,50.1425,65.47774158523345,155.48534201954396,770,77,0.007540391602019767,,114.88490566037736
14,0.9253,-10095.49230769231,60.656666666666666,82.97272727272727,186.28181818181818,727,74,0.0055711037674694005,,184.0099457504521
15,0.9202,-9610.723076923075,68.56333333333333,99.99393203883496,191.4648058252427,658,78,0.009467015483712126,,179.42649727767696
16,0.9151,-7955.369230769231,49.64666666666667,70.35453474676089,162.62190812720848,687,79,0.00665625936364904,,127.90338164251207
17,0.91,-8359.676923076924,49.876666666666665,63.73566878980892,155.9692144373673,770,76,0.008909183573502191,,124.22312556458898
18,0.905,-10132.753846153846,67.085,102.19518377693282,204.17743979721166,632,78,0.007544219142045354,,222.7540834845735
19,0.9,-9986.415384615382,62.104166666666664,86.7479674796748,185.68060394889662,707,75,0.009689221187661993,,172.09962406015038
20,0.895,-7925.0,51.4,73.4934601664685,162.71224732461354,693,78,0.008950440312561344,,135.73607038123168
21,0.89,-8749.876923076923,60.39666666666667,91.64772727272727,190.34595959595958,654,80,0.010037329566471019,,186.54359925788498
22,0.8851,-6856.292307692308,42.3475,54.50802139037433,145.4042780748663,784,82,0.009807174352681266,,120.84115523465704
23,0.8802,-10001.246153846156,62.05416666666667,87.66274970622797,194.35487661574618,688,76,0.010100551256100687,,190.64658990256865
24,0.8753,-8634.384615384615,54.29666666666667,73.29932735426009,161.68273542600897,747,75,0.011026451013859786,,124.5421686746988
25,0.8705,-7414.169230769231,45.37,56.09538461538462,137.37128205128204,824,76,0.010652918727089818,,107.02214022140221
26,0.8657,-8005.538461538461,51.11666666666667,70.05233219567691,159.29237770193402,728,78,0.012727013772659435,,150.2156334231806
27,0.8609,-6082.9384615384615,39.875,51.77478448275862,127.67780172413794,789,78,0.011679217071278258,,88.85174693106704
28,0.8561,-9286.984615384614,55.02916666666667,73.11602209944752,171.29723756906077,749,73,0.013302778001841592,,174.43755383290267
29,0.8514,-7322.630769230769,48.7875,68.1367323290846,145.2630359212051,719,72,0.01253641389905712,,136.39554317548746
30,0.8467,-8049.6461538461535,48.555,64.49834619625138,161.2646085997795,754,78,0.013631376682544471,,125.36404697380307
31,0.842,-5471.169230769231,33.968333333333334,44.574537540805224,124.77366702937977,796,80,0.01317637314442305,,91.46591970121382
32,0.8373,-8624.83076923077,49.615833333333335,65.81738173817382,153.93619361936194,753,72,0.014105187563124547,,139.0192131747484
33,0.8327,-9506.123076923075,66.42166666666667,104.61074705111402,200.85714285714286,622,77,0.014063901108508348,,202.10272727272726
34,0.8281,-9300.81538461539,61.4725,89.22222222222223,193.58454106280195,680,79,0.014143725372285525,,192.58547794117646
35,0.8235,-9259.307692307693,57.5975,76.46527012127895,172.2414553472988,761,76,0.014574756928064399,,148.49773755656108
36,0.819,-7727.369230769233,51.325833333333335,71.92782305005821,164.78812572759023,707,80,0.014316207920937237,,149.67613636363637
37,0.8144,-7349.415384615385,43.906666666666666,58.30429988974642,138.6284454244763,791,72,0.015549122049496952,,118.60922787193974
38,0.8099,-8021.969230769231,50.443333333333335,70.92523364485982,163.21612149532712,690,77,0.015364995319703372,,136.44694835680752
39,0.8054,-7960.676923076924,56.0325,79.6245572609209,167.35419126328216,692,79,0.016029838352262946,,133.3236397748593
40,0.801,-8396.169230769228,52.21,71.54783599088839,162.41230068337129,722,75,0.015059898732235781,,144.08424908424908
41,0.7966,-6537.230769230769,37.4375,50.066518847006655,129.2738359201774,792,73,0.01665330471495607,,109.11845730027548
42,0.7922,-6825.261538461539,42.545,57.694038245219346,142.74240719910011,750,80,0.015525983584889604,,125.11726078799249
43,0.7878,-7737.153846153847,39.7625,51.02542372881356,136.52012711864407,849,69,0.0162741034388155,,93.71575984990619
44,0.7834,-7484.307692307693,43.160833333333336,55.76502145922747,149.57296137339057,779,80,0.016183939262462643,,115.47606142728094
45,0.7791,-7726.03076923077,43.51833333333333,57.78767876787679,150.23432343234325,760,75,0.01653391221344239,,130.26752767527674
46,0.7748,-8506.30769230769,50.715833333333336,66.62704471101418,159.8647764449291,770,76,0.016458370950768436,,139.0329067641682
47,0.7705,-7862.815384615384,47.19416666666667,59.98103266596417,150.41938883034774,774,74,0.01627721511719771,,129.67224669603524
48,0.7662,-6890.876923076923,48.22416666666667,64.68004459308807,148.27201783723524,745,80,0.016597078759775643,,138.29524680073126
49,0.762,-6081.815384615384,33.5025,44.24781659388646,126.64301310043668,816,75,0.016976675680901707,,134.05851063829786
50,0.7578,-6991.646153846154,39.79,50.78329809725159,130.3139534883721,818,70,0.01693772720701827,,77.39506172839506
51,0.7536,-6196.292307692309,36.93,48.5938864628821,132.6004366812227,795,79,0.017822201381486907,,113.84678899082569
