episode,epsilon,total_reward,avg_queue,avg_wait_s,avg_travel_s,throughput,switches,td_loss,q_table_states,avg_delay_s
0,1.0,-548.2615384615384,3.341666666666667,6.036418816388467,42.980273141122915,642,70,nan,,6.23216995447648
1,0.9945,-551.323076923077,3.1066666666666665,5.638167938931297,42.041221374045804,640,65,nan,,5.754198473282443
2,0.989,-684.2769230769231,3.8575,6.887387387387387,43.996996996997,646,67,nan,,7.057057057057057
3,0.9835,-415.9384615384615,2.615,4.87460815047022,40.82131661442006,618,74,0.09884735085597661,,5.032915360501567
4,0.9781,-536.276923076923,3.160833333333333,5.707762557077626,42.009132420091326,636,69,0.029226512267208963,,5.902587519025875
5,0.9726,-674.2153846153847,3.8491666666666666,6.7562776957163955,43.24963072378139,652,64,0.018802429044555254,,6.926253687315635
6,0.9673,-628.5076923076924,3.59,6.506849315068493,42.26179604261796,621,69,0.005511318133664097,,6.628614916286149
7,0.9619,-519.5538461538462,3.0566666666666666,5.556574923547401,41.57798165137615,625,68,0.004729877113785796,,5.701834862385321
8,0.9566,-612.4153846153846,3.3891666666666667,6.188940092165899,42.59447004608295,623,65,0.0035010284456890584,,6.3486943164362515
9,0.9513,-1034.2,5.599166666666667,10.0,47.458083832335326,647,59,0.003637131279483613,,10.113602391629298
10,0.946,-616.7076923076925,3.5525,6.212922173274596,42.26431718061674,653,66,0.0034983211196227475,,6.385630498533724
11,0.9408,-565.2307692307693,3.183333333333333,5.821812596006144,41.815668202764975,633,65,0.0037074986668074275,,5.9631336405529956
12,0.9356,-732.5999999999999,4.023333333333333,7.6832,44.7104,604,65,0.003658892693683921,,7.8448
13,0.9304,-708.7846153846153,4.055833333333333,6.870554765291607,43.85775248933144,680,64,0.0038131831726365482,,7.034139402560455
14,0.9253,-508.38461538461536,3.0991666666666666,5.647239263803681,41.98159509202454,631,70,0.003697751414821095,,5.8052147239263805
15,0.9202,-514.8461538461538,3.0925,5.389458272327965,41.21522693997072,654,67,0.003835899141670457,,5.531478770131772
16,0.9151,-458.90769230769234,2.8266666666666667,4.979289940828402,41.248520710059175,657,72,0.0036738252929540533,,5.084319526627219
17,0.91,-421.4923076923077,2.5008333333333335,4.5685670261941445,40.21879815100154,630,68,0.003759579980192224,,4.72573189522342
18,0.905,-686.7384615384616,3.8691666666666666,6.79646017699115,43.174041297935105,653,68,0.0035335016032667617,,6.954277286135693
19,0.9,-776.2615384615385,4.441666666666666,7.908955223880597,45.080597014925374,638,66,0.0035640159047577473,,8.06865671641791
20,0.895,-487.7076923076923,2.8991666666666664,5.22154779969651,41.12139605462823,632,68,0.0035930216487138253,,5.376327769347496
21,0.89,-447.2923076923077,2.7808333333333333,5.0661538461538465,41.387692307692305,632,70,0.0036198287096490377,,5.216923076923077
22,0.8851,-435.2769230769231,2.6483333333333334,4.998410174880763,40.54531001589825,609,71,0.0035087526750499326,,5.149443561208267
23,0.8802,-534.476923076923,3.13,5.143250688705234,41.670798898071624,697,70,0.003851407227817094,,5.3264462809917354
24,0.8753,-661.0461538461539,3.8433333333333333,7.069444444444445,44.108024691358025,627,67,0.003717758611461122,,7.214506172839506
25,0.8705,-529.1384615384616,3.1391666666666667,5.763523956723338,41.82534775888717,616,70,0.0037969342283692667,,5.908809891808346
26,0.8657,-394.9230769230769,2.4483333333333333,4.496124031007752,39.93953488372093,612,69,0.003750467689544003,,4.651162790697675
27,0.8609,-552.4153846153847,3.4408333333333334,6.410015649452269,42.762128325508606,604,74,0.004020847075221851,,6.515625
28,0.8561,-603.6153846153848,3.4858333333333333,6.365030674846626,42.87116564417178,633,68,0.004068488308507018,,6.516871165644171
29,0.8514,-561.553846153846,3.408333333333333,6.102564102564102,42.37556561085973,633,72,0.0038290824936005065,,6.253393665158371
30,0.8467,-449.0153846153846,2.74,4.749636098981077,40.917030567685586,665,73,0.0038830860788665344,,4.8879184861717615
31,0.842,-530.7384615384616,3.2,5.757575757575758,42.192424242424245,639,71,0.0036478201658483697,,5.913636363636364
32,0.8373,-458.40000000000003,2.8808333333333334,5.216133942161339,41.6103500761035,627,71,0.0036832813257099157,,5.3419452887537995
33,0.8327,-517.2615384615384,2.9766666666666666,5.190615835777126,41.280058651026394,663,69,0.0038636164349124015,,5.338709677419355
