episode,epsilon,total_reward,avg_queue,avg_wait_s,avg_travel_s,throughput,switches,td_loss,q_table_states,avg_delay_s
0,1.0,-784.4,4.295,8.863557858376511,76.12262521588947,541,134,13.96727680824401,66,8.967184801381693
1,0.9945,-563.3076923076923,3.315,6.996447602131439,71.79928952042629,529,134,5.956687268469908,81,7.0799289520426285
2,0.989,-825.5538461538463,4.620833333333334,9.599303135888501,76.20557491289199,545,134,16.523492732180355,90,9.689895470383275
3,0.9835,-562.1846153846154,3.3,7.316573556797021,70.20670391061452,494,131,4.685653555686579,94,7.389199255121043
4,0.9781,-898.5384615384615,4.876666666666667,9.991423670668954,75.47855917667239,546,128,14.591588594280864,99,10.082332761578044
5,0.9726,-749.0307692307692,4.229166666666667,9.14519056261343,76.27041742286751,516,127,8.222535220731444,105,9.23956442831216
6,0.9673,-720.1692307692308,3.924166666666667,8.745794392523365,74.30280373831776,512,130,8.94441241208683,107,8.814953271028036
7,0.9619,-625.7076923076922,3.62,7.431034482758621,74.50344827586207,541,135,5.718726846815349,109,7.524137931034483
8,0.9566,-591.2,3.3933333333333335,7.272072072072072,69.47747747747748,514,132,5.435915931247608,117,7.36936936936937
9,0.9513,-591.9230769230769,3.4625,7.196864111498257,72.2212543554007,548,139,6.020761511081291,120,7.303135888501743
10,0.946,-621.8923076923077,3.7825,7.862129144851658,73.48516579406632,543,138,8.602694381699829,128,7.923211169284468
11,0.9408,-614.676923076923,3.5883333333333334,8.183556405353729,75.74378585086042,495,137,5.627490715295235,130,8.256214149139579
12,0.9356,-617.6461538461538,3.506666666666667,7.639853747714808,73.12979890310785,509,136,7.799822257037258,132,7.745886654478976
13,0.9304,-660.8307692307692,3.8916666666666666,8.01206896551724,72.82413793103449,549,138,6.610321092407008,133,8.093103448275862
14,0.9253,-732.0769230769231,4.009166666666666,8.932710280373831,76.26542056074766,514,130,6.412565838876762,133,9.057943925233644
15,0.9202,-555.0615384615385,3.2133333333333334,7.0591497227356745,70.5656192236599,493,138,5.24726809446268,134,7.138632162661738
16,0.9151,-762.3692307692307,4.339166666666666,9.063047285464098,75.4168126094571,545,133,7.785588776816946,139,9.129597197898423
17,0.91,-641.8153846153847,3.6391666666666667,7.192371475953565,70.43946932006634,555,131,4.623436193591993,139,7.281923714759536
18,0.905,-787.6307692307691,4.2491666666666665,8.801739130434783,73.41043478260869,542,130,10.971061606971029,140,8.88
19,0.9,-524.3076923076923,3.19,7.254302103250478,71.91778202676865,488,137,4.895438636132624,142,7.340344168260038
20,0.895,-609.3538461538462,3.4816666666666665,7.543636363636364,69.37454545454545,511,128,6.641796921853145,144,7.623636363636364
21,0.89,-570.4923076923078,3.441666666666667,7.269026548672566,74.00530973451328,525,140,5.766162480419043,145,7.32212389380531
22,0.8851,-563.4461538461538,3.2575,6.746086956521739,72.59652173913044,531,135,4.419237503166551,146,6.838260869565217
23,0.8802,-520.3846153846154,3.175,6.253311258278146,70.33443708609272,563,141,5.349019876572325,146,6.347682119205298
24,0.8753,-770.0,4.339166666666666,9.503676470588236,74.19117647058823,501,130,6.8790538013926845,146,9.576146788990826
25,0.8705,-621.4,3.6483333333333334,7.712765957446808,73.20035460992908,525,136,6.035751457870826,147,7.831560283687943
26,0.8657,-543.8153846153846,3.2016666666666667,6.907608695652174,70.14855072463769,504,134,3.5058860112094257,147,7.016304347826087
27,0.8609,-564.9692307692308,3.2416666666666667,7.06043956043956,69.83516483516483,509,135,7.584753370484057,150,7.1501831501831505
28,0.8561,-527.6153846153846,3.1066666666666665,6.668468468468468,70.28108108108108,524,144,5.204723707823301,150,6.767567567567568
29,0.8514,-582.5999999999999,3.308333333333333,6.954225352112676,69.56161971830986,528,137,5.571794095317458,151,7.040492957746479
30,0.8467,-618.123076923077,3.504166666666667,7.275741710296684,70.76788830715532,535,125,5.142689248800619,151,7.382198952879581
31,0.842,-536.876923076923,3.091666666666667,6.788213627992634,70.81767955801105,516,134,3.8861800139431586,151,6.880294659300184
32,0.8373,-556.8307692307693,3.2691666666666666,6.899115044247788,70.66017699115044,524,143,4.375987292451532,151,6.991150442477876
33,0.8327,-581.1692307692308,3.444166666666667,7.360215053763441,72.6326164874552,520,138,5.329202650642868,151,7.456989247311828
34,0.8281,-659.7384615384615,3.725,7.932263814616756,73.83065953654189,520,132,5.387774080822011,153,8.017825311942959
35,0.8235,-459.2769230769231,2.74,6.020332717190388,69.21072088724584,502,134,3.797822635374926,154,6.0924214417744915
36,0.819,-501.8307692307693,3.0,6.462093862815885,73.06498194945848,521,138,3.3699696357892406,154,6.5324909747292415
37,0.8144,-624.8461538461538,3.5475,7.283993115318417,71.25989672977624,548,133,5.140161938715183,155,7.364888123924269
38,0.8099,-663.0307692307692,3.8025,7.897212543554007,71.74564459930313,544,133,6.792288355282818,156,8.001742160278745
39,0.8054,-536.9230769230769,2.9433333333333334,6.584586466165414,72.5657894736842,504,130,5.517748604600447,156,6.678571428571429
40,0.801,-528.4153846153846,3.0658333333333334,6.419014084507042,70.39964788732394,528,133,5.073212423373407,156,6.515845070422535
41,0.7966,-694.1384615384616,3.8991666666666664,8.0625,74.0625,543,132,5.384386132920616,156,8.15798611111111
42,0.7922,-472.09230769230766,2.8275,5.777015437392796,68.3704974271012,542,144,5.0708878463032026,157,5.857876712328767
43,0.7878,-541.0461538461539,3.385,7.145648312611012,72.45648312611013,525,143,3.6388861184818815,159,7.238010657193605
44,0.7834,-548.6307692307691,3.1366666666666667,6.576719576719577,70.85890652557319,536,136,5.164653120798537,159,6.661375661375661
45,0.7791,-641.553846153846,3.665,7.347315436241611,71.25838926174497,555,140,6.294940847050979,159,7.447986577181208
46,0.7748,-597.1538461538462,3.485,7.364120781527531,70.19715808170515,531,137,4.8552861781444445,159,7.438721136767318
47,0.7705,-594.4307692307693,3.4758333333333336,7.667903525046382,73.291280148423,500,138,6.853089893649803,160,7.766233766233766
48,0.7662,-477.16923076923075,2.8141666666666665,5.980392156862745,69.63992869875223,520,139,4.177239301521806,160,6.081996434937611
49,0.762,-487.9076923076923,2.91,5.747927031509121,68.53399668325041,563,140,6.1143504249926055,160,5.817578772802653
50,0.7578,-527.5692307692308,3.1508333333333334,6.775768535262206,72.74141048824593,524,142,3.8818019228701464,160,6.844484629294756
51,0.7536,-482.18461538461537,2.8008333333333333,5.654761904761905,67.9234693877551,562,136,4.776405612847383,160,5.7227891156462585
52,0.7494,-386.36923076923074,2.4283333333333332,5.519157088122605,67.74329501915709,493,144,3.77974797923324,160,5.620689655172414
53,0.7453,-500.63076923076926,2.986666666666667,6.390287769784172,72.24820143884892,518,139,3.5122246085614255,160,6.471223021582734
54,0.7411,-546.4153846153846,3.22,6.794326241134752,71.07446808510639,533,144,4.356798016076043,160,6.884751773049645
55,0.737,-397.9538461538462,2.58,5.451154529307282,71.29307282415631,532,147,4.290935518543153,160,5.550621669626998
56,0.733,-580.0461538461539,3.36,6.70066889632107,71.5551839464883,559,138,4.017649267083221,160,6.794314381270903
57,0.7289,-449.21538461538466,2.9366666666666665,6.362477231329691,70.7103825136612,514,150,4.0298330362057735,160,6.446265938069216
58,0.7249,-473.9384615384615,2.861666666666667,6.243589743589744,70.63186813186813,508,136,5.621518275194405,160,6.3388278388278385
59,0.7209,-457.04615384615386,2.765833333333333,6.155430711610487,69.79026217228464,490,137,5.071487160628489,160,6.2322097378277155
60,0.7169,-433.5076923076923,2.7,5.667256637168141,71.88495575221239,528,145,5.4673671950941065,161,5.764601769911504
61,0.7129,-520.7538461538461,3.194166666666667,6.674868189806678,71.50439367311073,535,138,4.980666558823519,161,6.775043936731107
62,0.709,-478.1692307692308,2.7983333333333333,6.157407407407407,71.97962962962963,507,133,4.302053904490745,161,6.218518518518518
63,0.705,-478.8153846153846,2.9575,6.508317929759705,69.26987060998151,495,146,6.16458023352775,161,6.587800369685767
64,0.7011,-519.6153846153846,3.0741666666666667,6.242320819112628,71.83105802047781,558,140,3.391088130407308,161,6.363481228668942
65,0.6973,-565.8307692307692,3.316666666666667,6.761578044596913,73.50600343053173,544,139,4.379958598852012,161,6.854202401372213
66,0.6934,-500.5692307692308,3.0316666666666667,6.13265306122449,70.47108843537416,547,138,3.9538551385169898,161,6.2227891156462585
67,0.6896,-446.66153846153844,2.8216666666666668,5.891228070175439,70.34736842105264,541,146,4.135703627450967,161,6.005263157894737
68,0.6858,-430.61538461538464,2.6633333333333336,5.649373881932021,69.40071556350627,526,141,4.623773501848562,161,5.70304114490161
69,0.682,-487.61538461538464,2.895,5.888888888888889,70.38119658119658,542,133,4.231956017594169,161,5.981196581196581
70,0.6782,-467.79999999999995,2.73,5.695957820738137,71.06678383128295,536,131,4.350259538963219,162,5.794376098418278
71,0.6744,-410.5692307692308,2.5458333333333334,5.321052631578947,67.33859649122807,536,142,4.192540299487342,162,5.397548161120841
72,0.6707,-462.2615384615384,2.8075,6.196660482374768,70.96846011131726,502,135,3.675541658795214,163,6.278293135435993
73,0.667,-441.32307692307694,2.7816666666666667,5.786713286713287,69.11538461538461,535,143,2.8995457830333113,163,5.8828671328671325
74,0.6633,-479.2307692307692,2.845833333333333,5.928196147110333,69.77933450087566,530,138,3.048836757659314,164,6.019264448336252
75,0.6596,-368.0,2.234166666666667,4.744186046511628,69.85867620751341,524,144,3.2747107029680427,164,4.831842576028622
