episode,epsilon,total_reward,avg_queue,avg_wait_s,avg_travel_s,throughput,switches,td_loss,q_table_states,avg_delay_s
0,1.0,-2301.3846153846152,26.688333333333333,86.17250673854447,141.01078167115904,311,85,570.5228271493212,79,101.39787798408489
1,0.9917,-2043.4615384615383,21.97833333333333,76.49127906976744,125.13662790697674,311,84,407.1671961566639,155,78.71389645776567
2,0.9835,-2533.630769230769,25.298333333333332,80.16402116402116,129.3994708994709,326,80,582.6605062291555,235,83.64089775561098
3,0.9753,-2023.9230769230765,23.198333333333334,87.92405063291139,139.8512658227848,270,82,408.4964976166997,290,95.34862385321101
4,0.9673,-2929.153846153846,29.789166666666667,95.39572192513369,150.57486631016042,321,81,779.2186975245645,339,99.55882352941177
5,0.9592,-2604.446153846154,30.1,101.86440677966101,154.95197740112994,306,82,624.4576340348332,383,108.3956043956044
6,0.9513,-1670.9538461538464,14.755833333333333,52.84730538922156,95.47005988023952,301,83,311.04399517695657,467,53.08682634730539
7,0.9434,-2156.4307692307693,24.29,81.72752808988764,133.0421348314607,297,81,431.45229229783035,506,88.9608938547486
8,0.9356,-2603.4153846153845,27.324166666666667,84.97662337662338,141.85194805194806,333,84,701.572167549779,547,93.02077922077922
9,0.9278,-2638.5692307692307,27.755,91.31043956043956,145.4313186813187,322,80,615.1851491973453,600,96.58994708994709
10,0.9202,-2587.0,22.8875,72.47619047619048,123.7063492063492,338,79,519.9128839782688,643,76.42328042328042
11,0.9125,-1893.1384615384616,20.300833333333333,69.44857142857143,112.27428571428571,285,83,370.27832778788394,710,73.18539325842697
12,0.905,-2138.8153846153846,18.940833333333334,64.38068181818181,108.9971590909091,314,82,409.3425939510936,759,64.51988636363636
13,0.8975,-2118.2,20.474166666666665,68.63305322128852,114.60504201680672,305,79,372.0735002277968,806,70.56284153005464
14,0.89,-1901.3999999999999,18.401666666666667,64.23323615160349,112.53061224489795,303,79,299.2157082777814,837,73.31666666666666
15,0.8827,-2713.5538461538463,31.625,110.13953488372093,164.8924418604651,282,81,642.0802384290379,865,118.53804347826087
16,0.8753,-1760.0615384615385,15.455,51.33611111111111,93.975,318,80,270.0514731016046,924,51.38397790055249
17,0.8681,-2558.0923076923073,26.4525,82.4765625,132.22135416666666,336,80,579.4803947824835,963,93.02604166666667
18,0.8609,-2580.2923076923084,25.238333333333333,83.70914127423822,133.8781163434903,312,81,563.1673447698237,984,84.77044854881267
19,0.8538,-2495.8615384615387,26.44333333333333,88.49720670391062,137.35754189944134,306,80,515.3110875370635,1010,96.90858725761773
20,0.8467,-1977.246153846154,19.453333333333333,71.8641975308642,120.81172839506173,284,80,352.354532473543,1043,73.30864197530865
21,0.8397,-2835.8923076923074,33.056666666666665,105.32978723404256,160.43617021276594,318,81,702.7422833612333,1078,121.90673575129534
22,0.8327,-1755.7846153846156,17.729166666666668,62.22287390029326,108.49853372434018,307,82,275.09544624055815,1122,62.82102272727273
23,0.8258,-2198.492307692308,26.998333333333335,94.8533724340176,150.26979472140764,288,86,513.6588481488769,1138,112.88297872340425
24,0.819,-2433.4307692307693,26.0775,83.76139410187668,139.3941018766756,314,82,562.8404213988562,1165,91.11082474226804
25,0.8122,-1723.846153846154,16.754166666666666,59.83880597014925,105.08358208955224,288,79,270.6041036848682,1212,61.402898550724636
26,0.8054,-2565.0307692307697,29.265833333333333,97.1606648199446,150.9556786703601,315,80,555.1103185496412,1225,109.46073298429319
27,0.7988,-2315.8923076923074,26.72,89.65826330532212,140.47899159663865,297,83,484.18189524178877,1237,116.41798941798942
28,0.7922,-1853.7076923076925,16.34,51.714285714285715,96.6984126984127,331,81,310.5157099465564,1267,51.8515625
