episode,epsilon,total_reward,avg_queue,avg_wait_s,avg_travel_s,throughput,switches,td_loss,q_table_states,avg_delay_s
0,1.0,-548.2615384615384,3.341666666666667,6.036418816388467,42.980273141122915,642,70,26.18719693479699,47,6.23216995447648
1,0.9945,-564.9692307692308,3.223333333333333,5.844274809160305,42.23664122137404,633,65,17.087441447678117,54,5.96030534351145
2,0.989,-666.6461538461538,3.8375,6.857357357357357,43.711711711711715,646,66,33.874798035310114,63,7.031531531531532
3,0.9835,-447.5384615384615,2.8491666666666666,5.29153605015674,41.62852664576803,619,75,14.69925619171554,63,5.427899686520377
4,0.9781,-580.0461538461539,3.3783333333333334,6.117199391171994,42.598173515981735,636,69,21.07924080118874,67,6.280060882800609
5,0.9726,-674.2153846153847,3.8491666666666666,6.7562776957163955,43.24963072378139,652,64,22.778722145306485,71,6.926253687315635
6,0.9673,-628.5076923076924,3.59,6.506849315068493,42.26179604261796,621,69,25.70952812250736,72,6.628614916286149
7,0.9619,-521.323076923077,3.0141666666666667,5.5030674846625764,41.532208588957054,630,67,16.15729617340342,74,5.6422018348623855
8,0.9566,-610.7076923076922,3.3408333333333333,6.104454685099847,42.64362519201229,629,65,17.700377966552242,78,6.2642089093702
9,0.9513,-615.7692307692308,3.3233333333333333,5.910179640718563,41.467065868263475,647,59,19.498571493210612,86,6.041853512705531
10,0.946,-634.2307692307693,3.6191666666666666,6.320117474302497,42.50807635829662,655,65,18.071877042346504,86,6.492668621700879
11,0.9408,-534.6461538461538,3.0683333333333334,5.605222734254992,41.61290322580645,633,65,13.587568462300643,87,5.749615975422427
12,0.9356,-733.2,4.035833333333334,7.7104,44.7632,604,64,32.06879169397903,89,7.864
13,0.9304,-727.7076923076922,4.065,6.8847795163584635,43.615931721194876,677,64,18.542343980188836,90,7.066856330014224
14,0.9253,-630.0307692307692,3.611666666666667,6.598159509202454,43.40337423312884,631,67,19.84756383060077,91,6.756134969325154
15,0.9202,-587.8461538461538,3.4325,5.9824304538799415,42.25329428989751,655,68,16.06243867516962,92,6.136163982430454
16,0.9151,-525.3076923076924,3.1933333333333334,5.6301775147929,42.12721893491124,659,72,16.646137391485745,92,5.764792899408284
17,0.91,-459.0,2.671666666666667,4.879815100154083,40.47765793528505,633,65,11.627877747004739,92,5.026194144838213
18,0.905,-616.8153846153847,3.4675,6.101769911504425,42.28613569321534,652,67,19.21969762761289,93,6.252212389380531
19,0.9,-490.58461538461535,2.839166666666667,5.026865671641791,40.61194029850746,640,64,10.308141966217958,93,5.167164179104478
20,0.895,-541.3384615384615,3.1191666666666666,5.623672230652504,41.70864946889226,634,67,17.610217844936276,95,5.74051593323217
21,0.89,-386.01538461538456,2.365,4.312307692307693,40.53846153846154,631,70,7.565284821780416,95,4.46
22,0.8851,-446.5846153846154,2.75,5.176470588235294,40.68362480127186,609,69,12.219912240139058,96,5.31637519872814
23,0.8802,-738.5692307692308,4.3341666666666665,7.12534435261708,43.6198347107438,690,70,24.92954195019813,96,7.308539944903581
24,0.8753,-492.16923076923075,2.9125,5.345679012345679,41.626543209876544,631,69,14.223188147635982,96,5.4830246913580245
25,0.8705,-511.7538461538461,3.0675,5.619783616692427,41.52550231839258,618,69,12.083646212753374,98,5.765069551777434
26,0.8657,-530.1846153846154,3.025,5.587596899224806,41.31937984496124,621,68,16.60377533405331,98,5.72093023255814
27,0.8609,-438.6153846153846,2.7558333333333334,5.117370892018779,41.30359937402191,616,73,8.139164958967115,98,5.2609375
28,0.8561,-577.5076923076923,3.3366666666666664,6.090490797546012,42.102760736196316,631,64,14.42320797864624,99,6.25
29,0.8514,-405.7230769230769,2.52,4.513595166163142,39.87009063444109,628,73,7.142411116892561,99,4.672699849170438
30,0.8467,-595.0307692307691,3.694166666666667,6.398835516739447,43.14264919941776,651,73,15.160034470087279,99,6.544395924308588
31,0.842,-521.1384615384616,3.0525,5.486363636363636,41.83181818181818,642,65,13.190603774260516,100,5.636363636363637
32,0.8373,-469.0307692307693,2.808333333333333,5.095890410958904,40.99543378995434,632,69,8.84099629234487,100,5.212765957446808
